datetime_UTC,datetime_BJT,upload,EC,ENS_AVG,WRF_BD,manual_correct
3/3/2022 16:00,3/4/2022 0:00,12.8,12.77,12.905,10.39,11.8
3/3/2022 17:00,3/4/2022 1:00,12.5,11.702,12.716,9.323,11.5
3/3/2022 18:00,3/4/2022 2:00,11.4,10.634,12.527,8.445,11.4
3/3/2022 19:00,3/4/2022 3:00,10.2,10.011,11.4,8.13,10.2
3/3/2022 20:00,3/4/2022 4:00,9.1,9.388,10.273,8.224,9.1
3/3/2022 21:00,3/4/2022 5:00,8.6,8.764,9.147,7.786,8.6
3/3/2022 22:00,3/4/2022 6:00,8.4,8.074,8.207,7.181,7.181
3/3/2022 23:00,3/4/2022 7:00,7.9,7.384,7.268,6.454,6.454
3/4/2022 0:00,3/4/2022 8:00,6.6,6.694,6.329,5.547,5.547
3/4/2022 1:00,3/4/2022 9:00,4.9,5.335,4.867,4.548,4.9
3/4/2022 2:00,3/4/2022 10:00,3.5,3.976,3.404,3.109,3.5
3/4/2022 3:00,3/4/2022 11:00,2.9,2.617,1.942,2.848,2.9
3/4/2022 4:00,3/4/2022 12:00,2.7,2.354,1.841,2.783,2.7
3/4/2022 5:00,3/4/2022 13:00,2.2,2.091,1.74,2.689,2.689
3/4/2022 6:00,3/4/2022 14:00,1.9,1.828,1.639,2.717,2.717
3/4/2022 7:00,3/4/2022 15:00,1.8,1.6,1.769,2.579,2.579
3/4/2022 8:00,3/4/2022 16:00,1.4,1.371,1.899,2.107,2.607
3/4/2022 9:00,3/4/2022 17:00,0.8,1.143,2.028,1.872,2.872
3/4/2022 10:00,3/4/2022 18:00,0.5,1.717,2.132,1.977,2.977
3/4/2022 11:00,3/4/2022 19:00,1.3,2.291,2.235,2.532,2.532
3/4/2022 12:00,3/4/2022 20:00,2.4,2.865,2.339,2.974,2.4
3/4/2022 13:00,3/4/2022 21:00,3.4,3.536,3.043,3.001,3.4
3/4/2022 14:00,3/4/2022 22:00,4.1,4.206,3.748,2.966,4.1
3/4/2022 15:00,3/4/2022 23:00,4.6,4.876,4.453,3.134,4.6
