datetime_UTC,datetime_BJT,upload,EC,ENS_AVG,WRF_BD,manual_correct
3/2/2022 16:00,3/3/2022 0:00,10.5,9.381,10.454,7.084,9.381
3/2/2022 17:00,3/3/2022 1:00,9.9,9.856,10.424,7.212,8.9
3/2/2022 18:00,3/3/2022 2:00,9.8,10.331,10.395,7.521,8.8
3/2/2022 19:00,3/3/2022 3:00,9.3,9.93,10.135,7.513,8.013
3/2/2022 20:00,3/3/2022 4:00,9.1,9.529,9.875,7.165,7.665
3/2/2022 21:00,3/3/2022 5:00,9.3,9.129,9.616,6.774,7.574
3/2/2022 22:00,3/3/2022 6:00,9.7,9.085,10.07,6.468,7.268
3/2/2022 23:00,3/3/2022 7:00,10.1,9.041,10.524,6.447,7.947
3/3/2022 0:00,3/3/2022 8:00,10.2,8.997,10.978,6.568,7.568
3/3/2022 1:00,3/3/2022 9:00,10,8.432,10.955,7.008,8.008
3/3/2022 2:00,3/3/2022 10:00,10.1,7.867,10.931,7.42,8.42
3/3/2022 3:00,3/3/2022 11:00,8.8,7.301,10.908,9.292,10.292
3/3/2022 4:00,3/3/2022 12:00,10.2,8.572,10.978,11.083,11.083
3/3/2022 5:00,3/3/2022 13:00,11.1,9.843,11.049,11.307,12.1
3/3/2022 6:00,3/3/2022 14:00,11,11.114,11.119,11.238,12
3/3/2022 7:00,3/3/2022 15:00,10.5,10.641,10.946,11.146,11.146
3/3/2022 8:00,3/3/2022 16:00,9.8,10.168,10.772,11.071,11.071
3/3/2022 9:00,3/3/2022 17:00,9.8,9.695,10.599,10.911,10.911
3/3/2022 10:00,3/3/2022 18:00,9.7,10.03,10.577,10.77,10.77
3/3/2022 11:00,3/3/2022 19:00,9.4,10.364,10.554,10.67,10.67
3/3/2022 12:00,3/3/2022 20:00,9.9,10.698,10.532,11.154,11.154
3/3/2022 13:00,3/3/2022 21:00,10.7,10.4,11.075,10.603,10.7
3/3/2022 14:00,3/3/2022 22:00,10.8,10.101,11.617,10.098,10.8
3/3/2022 15:00,3/3/2022 23:00,11,9.803,12.16,9.695,9.695
