datetime_UTC,datetime_BJT,upload,EC,ENS_AVG,WRF_BD,manual_correct
3/1/2022 16:00,3/2/2022 0:00,6.8,5.42,6.943,4.026,4.026
3/1/2022 17:00,3/2/2022 1:00,5.9,4.786,6.87,3.414,3.414
3/1/2022 18:00,3/2/2022 2:00,4.8,4.152,6.797,2.836,2.836
3/1/2022 19:00,3/2/2022 3:00,3.6,3.098,6.209,2.374,2.9
3/1/2022 20:00,3/2/2022 4:00,3.1,2.045,5.621,2.038,3.1
3/1/2022 21:00,3/2/2022 5:00,3.1,0.992,5.033,1.93,2.6
3/1/2022 22:00,3/2/2022 6:00,3.6,1.765,5.44,2.182,3.1
3/1/2022 23:00,3/2/2022 7:00,4.5,2.539,5.847,2.763,2.763
3/2/2022 0:00,3/2/2022 8:00,4.8,3.313,6.254,3.368,3.368
3/2/2022 1:00,3/2/2022 9:00,5.1,3.911,6.309,3.979,3.979
3/2/2022 2:00,3/2/2022 10:00,6.2,4.509,6.364,4.382,5.7
3/2/2022 3:00,3/2/2022 11:00,7,5.107,6.419,5.825,5.825
3/2/2022 4:00,3/2/2022 12:00,8,5.802,7.104,7.919,8
3/2/2022 5:00,3/2/2022 13:00,8.4,6.497,7.788,7.875,8.4
3/2/2022 6:00,3/2/2022 14:00,7.2,7.192,8.473,7.606,9.2
3/2/2022 7:00,3/2/2022 15:00,8.2,8.05,9.198,7.915,10.2
3/2/2022 8:00,3/2/2022 16:00,9.5,8.909,9.924,8.154,11.5
3/2/2022 9:00,3/2/2022 17:00,9.6,9.767,10.649,8.171,10.6
3/2/2022 10:00,3/2/2022 18:00,8.8,9.438,10.217,7.877,8.8
3/2/2022 11:00,3/2/2022 19:00,8.1,9.108,9.785,7.006,7.006
3/2/2022 12:00,3/2/2022 20:00,8.7,8.778,9.353,7.157,7.157
3/2/2022 13:00,3/2/2022 21:00,9.6,8.329,9.945,6.888,6.888
3/2/2022 14:00,3/2/2022 22:00,9.4,7.88,10.537,6.539,6.539
3/2/2022 15:00,3/2/2022 23:00,9.3,7.431,11.129,5.982,5.982
